A,B,C
DR ASHWINI N - MYSORE,,
M HIMA VINUTHNA - HYDERABAD,,
DR DEEPALI AHIRE - MUMBAI CENTRAL,,
DR.ASHA. M - TIRUNELVELI,,
DR VIKAS SOOD - JALANDHAR,,
SAVANNAHS SHE MATTERS WOMEN'S CLINIC. (NOT IN USED),,
GALDERMA SAMPLE AHMEDABAD,,
DR SHEEBA - CHENNAI,,
DR. K.A SANGMA – SHILLONG,,
HIMANSHU JAIN - RX,,
DR SWATI WAGH - NASIK,,
DR SWATI TRIPATHI - UDAIPUR,,
DR ROHAL CHANDRAKAR - DURG,,
DR SANCHIKA GUPTA - FARIDABAD,,
RAVIKIRAN REPAKA - RX,,
DR ANUSUYA - RAMNAD,,
ANKUR SAPKOTA,,
RAJPUTANA AGENCIES PRIVATE LIMITED(E-com),,
URBAN RETAIL PRIVATE LIMITED - MUMBAI,,
PISPL-Cochin(GIPL RX-ND),,
PISPL-Guwahati(GIPL RX-ND),,
URBAN RETAIL PRIVATE LIMITED - DELHI,,
VIJAY THOMAS-073040,,
DR KARTHINI BABA - Hyderabad,,
DR KABIR BHARTI - PATIALA,,
PISPL-Karnal(GIPL RX-ND),,
URBAN RETAIL PRIVATE LIMITED - KOLKATA,,
PISPL-Kolkata(GIPL RX-ND),,
PISPL-Siliguri(GIPL RX-ND),,
SANGVI AGRO PULSES - BANGALORE,,
MEDLINE DISTRIBUTORS ( HQ - DAVANAGERE),,
PISPL-Indore(GIPL RX-ND),,
DR SIDRA NAZIR - SRINAGAR,,
DR MADHURI JETHVA - BARODA,,
DR HARI KUMAR REDDY - MADANAPALLY,,
DR.AISHWARYA CHAUHAN - LUCKNOW,,
DR PRIYANKA (DO NOT USE),,
DR M SRIDEVI - Hyderabad,,
Do not use REDEFINE AESTHETICS,,
BEAUTY CITY (DO NOT USE),,
KRISHNAPRABHU M,,
GALDERMA SAMPLE DELHI,,
DR CH NAVEENKUMAR - GUNTUR,,
DR HARIKA CHERUKURI - Hyderabad,,
DR BHAVESH DEVANI - RAJKOT,,
ANKIT KUMAR - RX,,
DR ABHISHEK PATOKAR- AKOLA,,
DR MAYA VEDAMURTHY - CHENNAI,,
DR POONAM CAPLASH - LUDHIANA,,
DR SWATI MUNDRA - VADODARA,,
DR SHRUTHI MADHAVI - BANGALORE,,
DR.KOLIN BHARDWAJ - DELHI,,
DR RAMESH KUMAR - KOTA,,
MANASH NEOG,,
APEKSHA NAYAK,,
BISHWAJIT KONWAR - RX,,
DR SWATI MOHAN - DELHI,,
ROUNAK BAGCHI,,
BANSRI RAJADNYE,,
MITTAPALLY MAHESH,,
KARTHICK G,,
SOURAV SHAW,,
DHIBIN SASI K,,
DR VEDHA ARAVIND - kRISHNAGIRI,,
ABDUL KHADHEER,,
DR ALISHA NAHA - CALICUT,,
DR SWATI GARG - PANCHKULA,,
NIZZAR AHAMED,,
ALPESH KUMAR VAGHELA,,
DR VEDHA VILASINI K - KRISHNAGIRI,,
DR SWATI ARORA  - AMRITSAR,,
DR SUSHIKARAN - CHENNAI,,
DR SURYA RAVINDRAN - PALAKKAD,,
DR SURYA NARAYANA - KARIMNAGAR,,
KASHISH SEN - RX,,
DR MOHD AMJAD - LUCKNOW,,
DR ABDUL WAHID - DELHI,,
DR SURUTI GUPTA   - DELHI,,
DR SURUCHI GUPTA  - DELHI,,
DR ANSHUMAN VARSHNEY - AHMEDABAD,,
DR SHRUTHISHREE-LINGASUGAR,,
DR P. SHILPA - HYDERABAD,,
DR VINOD CHAUDHARY - AHMEDABAD,,
DR SRITEJA DEVALLA - HYDERABAD,,
DR SHUBHRA SHUKLA - JAIPUR,,
DR SNEHA MOHANDAS - KANHANGAD,,
DR SURJIT MEHTA  - DELHI,,
DR SURESH PILLAI - NAGERCOIL,,
DR PRIYANKA SUNIL H M - DAVANAGERE,,
DR NIKITA MEHTA - MUMBAI,,
BISWANATH BAGCHI - RX,,
DR SUJALA S - BANGALORE,,
NARMIN JIWANI,,
DR PRAVIN BANODKAR-MUMBAI,,
GUDE SYAM KUMAR,,
ARUN KARTHICK R,,
DR SUHAIL JAYANT  - DELHI,,
DR SUHAIL AMBI - BANGALORE,,
PRAGNESH TRIVEDI,,
DR REEM M PADIYATH - COCHIN,,
DR SHUBHANGI MAHAJAN - MUMBAI,,
DR SUGAREDDY - BANGALORE,,
DR ANJANA MOHAN - ERNAKULAM,,
DR SUGANYA - TIRUNELVELI,,
DR SUGANDH GANDHI - RAIPUR,,
MANOHAR PATIL,,
DR SUDEEP VARMA - ALLAHABAD,,
DR SUCHITRA RAJMOHAN - CHENNAI,,
DR NIKHAT - DELHI,,
DR. R P PANDEY - LUCKNOW,,
MINAL PARIKH,,
DR.BHAGYASHRI GUPTE - MUMBAI,,
DR MONISHA SHETTY - MANGALORE,,
DR SUCHETA POPHALE  - SOLAPUR,,
DR ANUP KUMAR LAHIRY - HYDERABAD,,
DR NEHA PRASAD - JAIPUR,,
DR SUBRAMANIAN  - NAGERCOIL,,
DR P.KIRUTHIGA - NAMAKKAL,,
SUMIT MAURYA,,
DR ISHITA KAPOOR - DELHI,,
Dr. NAVANIT MANNA - HOOGHLY,,
DR VINEETHA BOBAN-THIRUVALLA,,
VINAY SHETTY,,
DR AJEET SINGH - GURGAON,,
VINOD MEDICOSE C/0 DR GAURAV BHASKAR,,
SONAL AGARWALA  - HYDERABAD,,
DR ROHIT GARG - PATIALA,,
TRISANDHYA PALLA - VIZAG,,
DR SUBHASHINI JAYAM - HYDERABAD,,
DR STUTI MAHAJAN - BARODA,,
DR SRUTHI GONDI - HYDERABAD,,
 DR SANJIV GOYAL - RAIGARH,,
PRAKHAR AGARWAL,,
UDAY VEER SINGH - RX,,
DR JYOTSNA  DEO - MUMBAI,,
DR SRUTHI GANDI - HYDERABAD,,
NINAD SHASHIKANT SATAM,,
DR MASROOR WANI - SRINAGAR,,
DR LAKSHMI SHARADA BONTHU - HYDERABAD,,
DR RITU SANGWAN - GURGAON,,
DR RAJSHEKER RAJ M L  - BANGALORE,,
DR SRUTHI BHADRAN - ERNAKULAM,,
DR NAGESH PAI KAKODE - GOA,,
ROHAN SHAH,,
PARESH NANDKHILE,,
VISHNU RAVINDRAN,,
SOMA PHARMA,,
FERNS INCORPORATED,,
MR RAJA,,
DR SOMA SARKAR - BANGALORE,,
DR PRIYANKA SINGH -  NEW DELHI,,
DR MADHULIKA MOHANTY - BANGALORE,,
DR ANSHIKA GOEL - NOIDA,,
DR VK JAIN - Gurgaon,,
DR DEVANSH SHAH - AHMEDABAD,,
ANIKET PRATAP - RX,,
JAINAM PHARMA (INDIA) PVT.LTD. - 101900098,,
AADI MEDICAL,,
DHRUV MEDICOS PVT.LTD.,,
DR SHARAD TELTUMDE - MUMBAI,,
CURATIO HEALTH CARE (I) PVT.LTD,,
APOLLO HOSPITALS ENTERPRISES LIMITED,,
DR MASROOR AHMAD WANI - SRINAGAR,,
DR BANSRI MAHADEVIA - AHMEDABAD,,
KAPBRO,,
SIDDHARTH M,,
BOROLKAR MEDICAL & GENERAL STORES,,
Dr.JOICE MARIA JOSEPH -KOTTAYAM,,
UNIQUE PHARMA,,
DR SANDEEP SHARMA - DELHI,,
DR K V MADHU BABU - VIZAG,,
DWEEP PHARMACY-Galderma,,
DR. SOMESHWAR B. TAKE - PUNE,,
S. K. ENTERPRISES,,
HARENDRA PRATAP SINGH,,
DR ASHWINI N - HASSAN,,
DR. SUNIL NAIK - LUCKNOW,,
ARIT GHOSH,,
ARKA ROY,,
ASHISH.VERMA1,,
AVINASH DHIMAN,,
JOMY MATHEW,,
KALAIVANAN SENGUNDAR,,
DR SRUSHANTH MUKKA - HYDERABAD,,
ZUBAIR KHAN - RX,,
PISPL-Bengaluru(GIPL C&F-ND),,
FARIS FARAAZ,,
DR SHILPI BANSAL - DELHI,,
K ELANCHEZHIYAN,,
WELFARE PHARMACY,,
MAAZ SONIWALA,,
MANJEET SINGH,,
DR. K . RAVI RAO - (NAGPUR),,
DR. G. VIVEK - THISAYANVILAI,,
GURUMURTHY CHENCHU,,
DR SURENDRA THALOR - JAIPUR,,
DR SONIA TEKCHANDANI - MUMBAI,,
SHIVENDRA SINGH DHANRI,,
M PRADEEP KUMAR REDDY,,
GALDERMA SAMPLE KOLKATA,,
MYLEVAHANAN RAJAGOPAL,,
MOHIT DHAKA,,
RAMESH CHIDAM,,
PARVINDRA SINGH,,
DR VATSAN V - MADIPAKKAM,,
MRINAL KUMAR,,
KALPESH CHAUDHARI - RX,,
DR AAKANKHSA SINGH - DELHI,,
DR A PRASUNA - HYDERABAD,,
DR A MOUNIKA - VIJAYAWADA,,
DR A K SRIVASTAVA - ALLAHABAD,,
DR A K MANOCHA - DELHI,,
DR A K CHOPRA  - CENTRAL DELHI,,
DR A GANGAHARISH GUPTA - HYDERABAD,,
DR A G CHANDRASHEKHAR - MYSURU,,
DR A BHARGAVI - HYDERABAD,,
DR .LAKHAN SINGH SOLANKI  - PATIALA,,
DR .A.ANBURAJAN - TRICHY,,
DR  B K VISHWANATH - DAVANGERE,,
DR DIPA KADAM - MUMBAI,,
CUTIS INSTITUTE - CALICUT,,
BERKOWITS HAIR & SKIN CLINIC - FARIDABAD,,
BERKOVITS  - CENTRAL DELHI,,
DR B.Y.PRAVEEN KUMAR - HYDERABAD,,
DR AZHEEL KHALIDI - HYDERABAD,,
AL -HIND COSMETOLOGY CLINIC  - CALICUT,,
AIIMS  - DEHRADUN,,
DR A.C.REDDY - HYDERABAD,,
DR STUTI SHUKLA & DR ARUN VERMA - JABALPUR,,
DR AMITABH UPADHYAY  - ALLAHABAD,,
DR.MEENA MAKHECHA - MUMBAI,,
DR ATUL NILEKAR  - BEED,,
DR ASHWINI GUTTEDAR  - WARANGAL,,
DR ASHWIN RAO  - BANGALORE,,
DR ATUL CHAUDHARY - PALANPUR,,
DR ASHUTOSH SINGH  - DEHRADUN,,
DR ASHUTOSH SHENDE - PUNE,,
DR ASHOK MITTAL  - JAIPUR,,
DR ASHOK GUPTA  - DELHI,,
DR ASHOK GANGWAR - RAIPUR,,
DR ASHOK DHANWAL - SIKAR,,
DR ASHISH GARG  - CENTRAL DELHI,,
DR ASHISH DESHMUKH - AURANGABAD,,
DR ASHISH CHAUHAN  - NOIDA,,
DR ASHA K  - HUBLI,,
DR ASHA BIJU - TRIVANDRUM,,
DR ARVINDER SINGH - UDAIPUR,,
DR ARUN KUMAR MAURYA - ALLAHABAD,,
DR ARPITA AGRAWAL - LUCKNOW,,
DR ARIKA BANSAL  - CENTRAL DELHI,,
DR ARIHANT  - DELHI,,
DR ARCHANA KESHAV MURTHY - BANGALORE,,
DR ARAVIND N - BANGALORE,,
DR ARATHI P - BANGALORE,,
DR APURVA KAUSHAL - AYODHYA,,
DR APARNA SHARMA - KOTA,,
DR APARNA A D - BANGALORE,,
DR ANUROOP ROY - HYDERABAD,,
DR ANURADHA - LUDHIANA,,
DR ANUPRITA TEJWANI  - JODHPUR,,
DR ANUPAMA - LUCKNOW,,
DR ANUPAM TAKALKAR - AURANGABAD,,
DR ANUP KUMAR  - HYDERABAD,,
DR ANUJA AGGARWAL - NODIA,,
DR ANUJ SAIGAL - DELHI,,
DR ANUJ KUMAR - JHANSI,,
DR ANUJ CHOPRA - DELHI,,
DR ANTIONETTA ASHWINI - CHENNAI,,
DR ANTIM DAS  - ALLAHABAD,,
DR ANOOP PATEL  - LUCKNOW,,
DR ANU KURIAN - THIRUVALLA,,
DR ANKUR RAJ UPADHYAY - MUZAFFAR NAGAR,,
DR ANKU JAIN - KOTA,,
DR ANJALI PAL - AMRITSAR,,
DR ANITA VIJAY - JAIPUR,,
DR ANITA RATH - BHUBANESHWAR,,
DR ANIRBAN DAS  - BERHAMPORE,,
DR ANIL SONI - INDORE ,,
DR ANIL MINZ - FARIDABAD,,
DR ANIL KUMAR  - CENTRAL DELHI,,
DR ANIL KOTHARI  - KOTA,,
DR ANIL K V MINZ - FARIDABAD,,
DR ANIL ABRAHAM - BANGALORE,,
DR ANANDHI  - TIRUPATTUR,,
DR ANAND TOSHNIWAL - HYDERABAD,,
DR ANAND PRAJAPATI - AHMEDABAD,,
DR AN TIWARI  - BARABANKI,,
DR AMRUTHA ELIZABETH VARGHESE - PIRAVOM,,
DR AMRITA MADNANI - ALLAHABAD,,
DR AMRIT GOEL  - NOIDA,,
DR AMRENDRA PANDEY - JABALPUR,,
DR AMRENDRA KUMAR - DELHI,,
DR AMRENDER  - CENTRAL DELHI,,
DR AMMASAIGOUNDAN  - COIMBATORE,,
DR AMITA PHADNIS  - PUNE,,
DR AMIT MISTRY - AHMEDABAD,,
DR AMIT KR AGARWAL - SILIGURI,,
DR AMIT KOTHEKAR - AKOLA,,
DR AMIR SHAHID ANSARI - PRATAPGARH,,
DR AMEY KOTKAR - NASIK,,
DR AMEESHA MAHAJAN - AMRITSAR,,
DR AMEE DAXINI  - BANGALORE,,
DR AMBRISH BADAD - BENGALURU,,
DR ALOK SULTANIA - RAIPUR,,
DR ALOK SHARMA  - CENTRAL DELHI,,
DR ALKA MAKWANA - AHMEDABAD,,
DR ALKA KOTECHA - AURANGABAD,,
DR ALISHA KHAN - MORADABAD,,
DR ALISHA ANEJA - DELHI,,
DR ALI MOHD - LUCKNOW,,
DR ALEKYA SINGAPORE - HYDERABAD,,
DR AKSHITA BAKSHI - PANCHKULA,,
DR AKSHAY KUMAR JAIN - KOTA,,
DR AKSHATA PANDEY - GOA,,
DR AKSHAT VERMA  - INDORE,,
DR AKHILESH SHARMA  - JAIPUR,,
DR AKHILESH JAIN  - JAIPUR,,
DR AKHILENDRA SINGH - GURGAON,,
DR AKHILA HUSNE  - BANGALORE,,
DR AKANSHA ZUYAL  - BARABANKI,,
DR AJS PRAVIN - NAGERCOIL,,
DR AJAY MOHAN - LUCKNOW,,
DR AJAY MODI  - BILIMORA,,
DR AJAY GOYAL - PANCHKULA,,
DR AJAY BANSAL - NOIDA,,
DR AISHWARYA JOSHI - JAIPUR,,
DR AISHWARYA - CHENNAI,,
DR AGNITA KAMAT - GOA,,
DR AFZAL AHMED JAMIL - HYDERABAD,,
DR ADARSH TRIPATHI - DELHI,,
DR ABSAR AHMAD - DELHI,,
DR ABRAR WANI - SRINAGAR,,
DR ABHISHEK YADAV - LUCKNOW,,
DR ABHISHEK R SHETTY - BENGALURU,,
DR ABHISHEK PONATHIL - BENGALURU,,
DR AASHISH SONARIKAR - AURANGABAD,,
DR AARTHI SRIRAM - CHENNAI,,
DR AARTHI - COIMBATORE,,
DR AAKRITI MEHRA - MUMBAI,,
DR AAKANKSHA SINGH - DELHI,,
DR AAKANKSHA JUYAL - LUCKNOW,,
DR G PAVITHRA - ERODE,,
DR G K PRASAD - HYDERABAD,,
DR G HARI CHANDANA - VIJAYAWADA,,
DR G BHEEMESH - HYDERABAD,,
DR G ANNAPURNA - KARIMNAGAR,,
DR G A VENKATESHLU  - BANGALORE,,
DR FRANKLIN SUJITH K - BANGALORE,,
DR FIRDOUS JAHAN - RANCHI,,
DR FAROOK  - CHENNAI,,
DR FARAHANA BEGUM - BANGALORE,,
DR ESHWARI L - BANAGLORE,,
DR EGWIN ANAND  - NAGERCOIL,,
DR EBY CHACKO - KOTTAYAM,,
DR DURGA PRASAD  - HYDERABAD,,
DR DOLLY SINGH - DHANBAD,,
DR DK OMER  - JHANSI,,
DR DIVYASHREE M R   - BANGALORE,,
DR DIVYA VIJAYARAGHAVAN - CHENNAI,,
DR DIVYA SIDDAVARAM - VIJAYAWADA,,
DR DIVYA SHARMA  - BANGALORE,,
DR DIVYA SACHDEV - RAIPUR,,
DR DIVYA ROY ADHIKARI - GORAKHPUR,,
DR DISHA JAGGI  - LUCKNOW,,
DR DIPTI DIXIT - MUMBAI,,
DR DIPALI SHENDARKAR - MUMBAI,,
DR DINKAR SADANA - LUDHIANA,,
DR DINESH V VERMA  - AHMEDABAD,,
DR DINESH G G  - BANGALORE,,
DR DILIP KUMAR  - CENTRAL DELHI,,
DR DILIMPOU PAMEI - IMPHAL,,
DR DHRUVA KUMAR - BANGALORE,,
DR DHRUV PREMY AGRAWAL - BHOPAL,,
DR DHARMENDRA PALIWAL - LUCKNOW,,
DR DHARAMVIR  - CENTRAL DELHI,,
DR DHARAM KUMAR - BANGALORE,,
DR DHANANJAY KUMAR - LUCKNOW,,
DR DEEPTHI RAVI - CHENNAI,,
DR DEEPTHI  S - PAYYOLI,,
DR DEEPALI MARTHINENI - HYDERABAD,,
DR DEEPAK THAPA   - DELHI,,
DR DEEPAK SINGHAL  - CENTRAL DELHI,,
DR DEEPAK SAINI - KOTPUTLI,,
DR DEEPAK MOHANA - INDORE,,
DR DEEPAK JAKHAR - DELHI,,
DR DEEPAK JADHAV - BANGALORE,,
DR DEEPA KRISHNAMURTHY - BENGALURU,,
DR DEEPA KARLI - HATTI,,
DR DEEPA K - BENGALURU,,
DR DEBESHI HAZARIKA - GUWAHATI,,
DR DEBESHI BHATACHARJEE - GUWAHATI,,
DR DEBEEKA HAZARIKA - GUWAHATI,,
DR DAVINDER PARSAD  - CHADIGARH,,
DR D. SRINIVAS  - NIZAMABAD,,
DR D Y MAHAJAN - NASIK,,
DR D SATHEESHKUMAR - TRICHY,,
DR D RAVI KUMAR - HYDERABAD,,
DR D PADMAJA - HYDERABAD,,
DR D LAVANYA  - SRIKAKULAM,,
DR D K JAYAN  - CENTRAL DELHI,,
DR D DEVAREDDY - BANGALORE,,
DR D D MUSTAQ AHMED - HYDERABAD,,
DR D ASIF - KARIMNAGAR,,
DR CLARIFY SYRTI - GUWAHATI,,
DR CHYTRA - BANGALORE,,
DR CHITHRA PRAKASH - BANGALORE,,
DR CHARU SHARMA - BANGALORE,,
DR CHARU JINDAL - DELHI,,
DR CHANDRAMOHAN K - BANGALORE,,
DR CHANDHINI - CHENNAI,,
DR CHALASANI PRAVEENA - VIJAYAWADA,,
DR CH VENKATA KRISHNA - HYDERABAD,,
DR CH SREE VASAVI - VIJAYAWADA,,
DR CH SARITHA - KARIMNAGAR,,
DR CH LAXMAN KUMAR - KARIMNAGAR,,
DR CH BHARGAVI  - VIJAYAWADA,,
DR CANDY GARG - DELHI,,
DR C V MADHURI - HYDERABAD,,
DR C T MANJUNATH - CHIKMAGALUR,,
DR C MURALI MOHAN - HYDERABAD,,
DR C A SHANTHI - SRIRANGAM,,
DR BRAMARAMBA  - HYDERABAD,,
DR BINODINI BEHERA  - CUTTACK,,
DR BINDIYA BANSAL - JAIPUR,,
DR BHUVANASHREE - CHENNAI,,
DR BHAWNA LUTHRA - DELHI,,
DR BHAVNA BAGHELA - INDORE,,
DR BHAVIN BHATT - GHANDHINAGAR,,
DR BHASKAR REDDY - HYDERABAD,,
DR BHARAT TANK - RAJKOT,,
DR BHARAT LALWANI  - SURAT,,
DR BHARAT LALWALA - SURAT,,
DR BHARAT BHUSHAN - GORAKHPUR,,
DR BHANU PRAKASH - HYDERABAD,,
DR BHAGYASHREE GUPTA - MUMBAI,,
DR BEENA VALANDI - HYDERABAD,,
DR BANU PRIYA  - VILLUPURAM,,
DR BALASUBRAMANI - TRICHY,,
DR BALACHANDRA S ANAND  - BAGALKOT,,
DR BALACHANDRA ANKAD - BANGALORE,,
DR B.B DHINGRA  - HANUMANGARH,,
DR B VINAYA KUMAR REDDY - VIJAYAWADA,,
DR B SRI JYOTHI - HYDERABAD,,
DR B SHINY SHULAMITE - HYDERABAD,,
DR B S REDDY - HYDERABAD,,
DR B R SUHAS - BANGALORE,,
DR B PRASHANTI - HYDERABAD,,
DR B N REDDY - HYDERABAD,,
DR B KUMAR  - BAREILLY,,
DR B K VISWANATH  - DAVANGERE,,
DR B K AARTHI - CHENNAI,,
DR B JAYALAKSHMI DHEVI - MADURAI,,
DR B H RIZVI - BASTI,,
DR B C GHIYA  - BIKANER,,
DR B B PONDA - JHARGRAM,,
DR B ANUSHA - VIJAYAWADA,,
DR AYISWARYA MARREDDY - HYDERABAD,,
DR AVINASH AGORE  - AGRA,,
DR AVINASH - TIRUNELVELI,,
DR AVANI MANIAR - MUMBAI,,
DR ATUL NILEKAR - AURANGABAD,,
DR K P SHABANAM SAMEER - BANGALORE,,
DR K P SARADHA - CHENNAI,,
DR K NEHA CHOUDHARY - HYDERABAD,,
DR K NAVIN KUMAR - HYDERABAD,,
DR K M SATISH - BANGALORE,,
DR K LAXMI  - GUNTUR,,
DR K KALYAN - HYDERABAD,,
DR K C TALUKDAR  - GUWAHATI,,
DR K BALARAM - HYDERABAD,,
DR K ABINAYA - CHENNAI,,
DR JYOTI SHARMA  - BALLABGARH,,
DR JOSEPH J PANACKAL - ERNAKULAM,,
DR JOSEPH CHALISSERY - ERNAKULAM,,
DR JOHNY CHACKO - ERNAKULAM,,
DR JITENDRA PRASAD - SULTANPUR,,
DR JEYAPRABA - MADURAI,,
DR JAZEEM MAHAMOOD - KANNUR,,
DR JAYSHREE NOOR - DELHI,,
DR JAYASHREE  - BELGAUM,,
DR JAYASHARMA - BANGALORE,,
DR JAYANTHI KALANITHI - CHENNAI,,
DR JAYA PATHAK - NEW DELHI,,
DR JAYA LAXMI  - VISAKHAPATNAM,,
DR JAYA GUPTA  - CENTRAL DELHI,,
DR JAYA BHAWNANI - LUCKNOW,,
DR JAVED AKHTAR KHAN - LUCKNOW,,
DR JAVED AKHTAR - LUCKNOW,,
DR JAVAID BHAT - SRINAGAR,,
DR JATIN SHARMA - ZIRAKPUR,,
DR JANGID BANWARI LAL - DELHI,,
DR JANGID  - CENTRAL DELHI,,
DR JANAKI K YALAMANCHILLI - HYDERABAD,,
DR JAMES THANZAMA - GUWAHATI,,
DR JAGAT NARAYAN - KOLKATA,,
DR JAGADISH P - BANGALORE,,
DR J.ANAIPPAN  - CHENNAI,,
DR J. PADMA REDDY  - HYDERABAD,,
DR J V MANJUNATH  - BANGALORE,,
DR J THANZAMA  - AIZWAL,,
DR J R KAZI - HUBLI,,
DR J N MAHESH - BANGALORE,,
DR J L V SIREESHA - VIJAYAWADA,,
DR J JAYAKUMAR - VELLORE,,
DR ISHA MITTAL - ZIRAKPUR,,
DR IPSHITA JOHRI  - NOIDA,,
DR INDUBALLANI - DELHI,,
DR INDRANI DEY  - GUWAHATI,,
DR INDRADEVI - CUDDALORE,,
DR INDIRA PAVAN  - HYDERABAD,,
DR IMTIAZ DB  - BANGALORE,,
DR IMRAN MAJID  - JAMMU,,
DR I S NEERAJ - HAZARIBAG,,
DR HUMAYUN - CHENNAI,,
DR HUMA SHAHEEN - HYDERABAD,,
DR HIMANSHU GUPTA  - CENTRAL DELHI,,
DR HIMANI CHENNAMANENI - HYDERABAD,,
DR HIMA RAJAN - ERNAKULAM,,
DR HEPHZIBAH VINEETH - CHENNAI,,
DR HEMAMAALINI - CHENNAI,,
DR HEMA YADAV - DELHI,,
DR HEMA NATARAJAN - COIMBATORE,,
DR HEMA CHAKRAPANI - HYDERABAD,,
DR HEENA PARMAR - DISHA,,
DR HEEMA SHAHEEN - HYDERABAD,,
DR HARSIMAR SINGH - UNA(H.P),,
DR HARSHA SINGH - BAREILLY,,
DR HARSHA GANGADHAR - BENGALURU,,
DR HARSH S TAHILIANI - MUMBAI,,
DR HARPREET BAKSHI - PANCHKULA,,
DR HARITHA BANDARU - HYDERABAD,,
DR HARITHA  - HYDERABAD,,
DR HARISH PRASAD - BANGALORE,,
DR HARISH MALLELA - HYDERABAD,,
DR HARISH KHUSIRAMANI - BHOPAL,,
DR HARISH  - HYDERABAD,,
DR HARINI T  - BANGALORE,,
DR HARIKUMAR REDDY - VIJAYAWADA,,
DR HARIKISHAN - BANGALORE,,
DR HARI KIRAN CHEKURI - HYDERABAD,,
DR HARDIK SHAH - SURAT,,
DR HARAPRASAD MOHANTY - PURI,,
DR HARANADH  - RAJAHMUNDRY,,
DR HARA PRASANNA TRIPATHY - BHUBANESWAR,,
DR H P TRIPATHY - ODISHA,,
DR GURU PRASAD  - VIZAG,,
DR GURPREET SINGH - NODIA,,
DR GUNJAN MEHTA - INDORE,,
DR GUNJAN GUPTA - NOIDA,,
DR GUNCHA MOHAN - NOIDA,,
DR GRISHMA HABIB - BENGALURU,,
DR GP THAMI  - PANCHAKULA,,
DR GOVIND S MITTAL - BANGALORE,,
DR GOURAMMA HUGGI - BENGALURU,,
DR GORIKA BANSAL - DELHI,,
DR GOPAL SINGH DHANIK - KANPUR,,
DR GOKUL NAIDU G - BANGALORE,,
DR GODAVARI GAIKWAD - HYDERABAD,,
DR GIRIVASAN - COIMBATORE,,
DR GIRISH NARKHEDE - NASIK,,
DR GIRISH MS - BANGALORE,,
DR GEETIKA SRIVASTAVA - DELHI,,
DR GEETHIKA - KARIMNAGAR,,
DR GEETA OBEROI - MUMBAI,,
DR GEETA GERA  - GHAZIABAD,,
DR GAYATHRI  - CHENNAI,,
DR GAURAV SALVE - AURANGABAD,,
DR GAURAV PANDEY - AURANGABAD,,
DR GANGABHAVANI - VIJAYAWADA,,
DR GANGA RAVIKUMAR  - CHENNAI,,
DR G.REVANTH - NIZAMABAD,,
DR G.KRISHNAMOORTHY  - CHENNAI,,
DR G SRINIVAS - VIJAYAWADA,,
DR G SOUJANYA - KARIM NAGAR,,
DR G SHIVARAJ BABU - CHENNAI,,
DR G S YADAV - JAUNPUR,,
DR G RAVINDRANATH REDDY - HYDERABAD,,
DR MANSEK SHISHEK - DELHI,,
DR MANSAK SHISHAK - NEW DELHI,,
DR MANOKARAN  - MADURAI,,
DR MANOJ PAREKH - BANGALORE,,
DR MANOJ GUPTA - ALLAHABAD,,
DR MANOHARI - TRICHY,,
DR MANMOHAN BAGRI - JAIPUR,,
DR MANJUSHREE DEEPAK  - BANGALORE,,
DR MANJUNATHA SARATHI  - DAVANGERE,,
DR MANJU KHESARI - GHAZAIABAD,,
DR MANJOT MARWAH - JALANDHAR,,
DR MANASI PAWAR - NASIK,,
DR MANASARANJAN UPADHYAY - CUTTACK,,
DR MANASA TUPKAR - HYDERABAD,,
DR MAMTA PATEL - VADODARA,,
DR MAMTA BHURA  - KANPUR,,
DR MALLIKA ARORA - SUNEHAR,,
DR MAKKALA NAGA SRAVANI - VIJAYAWADA,,
DR MAITHILI KAMAT - MUMBAI,,
DR MAHESHWARI - BANGALORE,,
DR MAHESH PATEL  - SURAT,,
DR MAHESH JN - BANGALORE,,
DR MAHESH - KASARGOD,,
DR MADHURI PATKAR - MUMBAI,,
DR MADHURI BANNIGOL - HYDERABAD,,
DR MADHURI AGARWAL - MUMBAI,,
DR MADHAVI ZENDE - PUNE,,
DR MADHAV CHARY - HYDERABAD,,
DR MADAN MOHAN - BANGALORE,,
DR M.VASANTHA MANJU  - ERODE,,
DR M.K SINGHI  - JODHPUR,,
DR M RAVI RATHOD  - HUBLI,,
DR M RAGHUVEER - HYDERABAD,,
DR M PRAKASH - TIRUKOILUR,,
DR M PADAM KUMAR - CHENNAI,,
DR M N SRAVANI - GUNTUR,,
DR M MOHAMED SIDIQ - ERODE,,
DR M MOHAMED RAFEEK - PATTUKOTTAI,,
DR M M TRIVEDI  - AHMEDABAD,,
DR M LOHITHA - HYDERABAD,,
DR M LAL - DELHI,,
DR KIRUBA DHENNADHAYALAM - CHENNAI,,
DR KIRAN POONIA - JAIPUR,,
DR KIRAN LOHIA - DELHI,,
DR KIRAN KATKAR - MUMBAI,,
DR KIRAN GODSE - MUMBAI,,
DR KIRAN BAJAJ - KARNAL,,
DR KIRAN ANTONY KABEER - CHENNAI,,
DR KHALED SHAIKH - AURANGABAD,,
DR KESHAVA M  - BANGALORE,,
DR KEERTHANA ANDRU - HYDERABAD,,
DR KAVYA NAYAK - BANGALORE,,
DR KAVYA NAYAK  - BANGALORE,,
DR KARUNYA NARAYANASAMY - TRICHY,,
DR KARSHIMA KAGODU - BANGALORE,,
